preamble,stimulus,is_correct,subject
"Rawls conceives of the original contract as one to: (A) enter a particular society. (B) set up a particular form of government. (C) establish the content of morality. and (D) establish the principles of justice for the basic structure of society.. Of the answer choices above, answer (A) is the",best,0,philosophy
"Rawls conceives of the original contract as one to: (A) enter a particular society. (B) set up a particular form of government. (C) establish the content of morality. and (D) establish the principles of justice for the basic structure of society.. Of the answer choices above, answer (B) is the",best,0,philosophy
"Rawls conceives of the original contract as one to: (A) enter a particular society. (B) set up a particular form of government. (C) establish the content of morality. and (D) establish the principles of justice for the basic structure of society.. Of the answer choices above, answer (C) is the",best,0,philosophy
"Rawls conceives of the original contract as one to: (A) enter a particular society. (B) set up a particular form of government. (C) establish the content of morality. and (D) establish the principles of justice for the basic structure of society.. Of the answer choices above, answer (D) is the",best,1,philosophy
"According to Singer, compliance with his principle requires: (A) modest changes to our personal habits, but not to our society as a whole. (B) modest changes to our personal habits, as well as to society. (C) drastic changes to our personal habits, but not to our society. and (D) drastic changes to both our personal habits and to our society.. Of the answer choices above, answer (A) is the",best,0,philosophy
"According to Singer, compliance with his principle requires: (A) modest changes to our personal habits, but not to our society as a whole. (B) modest changes to our personal habits, as well as to society. (C) drastic changes to our personal habits, but not to our society. and (D) drastic changes to both our personal habits and to our society.. Of the answer choices above, answer (B) is the",best,0,philosophy
"According to Singer, compliance with his principle requires: (A) modest changes to our personal habits, but not to our society as a whole. (B) modest changes to our personal habits, as well as to society. (C) drastic changes to our personal habits, but not to our society. and (D) drastic changes to both our personal habits and to our society.. Of the answer choices above, answer (C) is the",best,0,philosophy
"According to Singer, compliance with his principle requires: (A) modest changes to our personal habits, but not to our society as a whole. (B) modest changes to our personal habits, as well as to society. (C) drastic changes to our personal habits, but not to our society. and (D) drastic changes to both our personal habits and to our society.. Of the answer choices above, answer (D) is the",best,1,philosophy
"For Socrates, the soul is harmed by lack of _____. (A) wealth (B) community (C) courage and (D) knowledge. Of the answer choices above, answer (A) is the",best,0,philosophy
"For Socrates, the soul is harmed by lack of _____. (A) wealth (B) community (C) courage and (D) knowledge. Of the answer choices above, answer (B) is the",best,0,philosophy
"For Socrates, the soul is harmed by lack of _____. (A) wealth (B) community (C) courage and (D) knowledge. Of the answer choices above, answer (C) is the",best,0,philosophy
"For Socrates, the soul is harmed by lack of _____. (A) wealth (B) community (C) courage and (D) knowledge. Of the answer choices above, answer (D) is the",best,1,philosophy
"According to Kant, morality requires us to: (A) perform the action that leads to the greatest total happiness. (B) behave only in such a way as a perfectly virtuous person would behave. (C) place the interests of others above the interests of ourselves. and (D) act only on maxims that we can will to become universal laws.. Of the answer choices above, answer (A) is the",best,0,philosophy
"According to Kant, morality requires us to: (A) perform the action that leads to the greatest total happiness. (B) behave only in such a way as a perfectly virtuous person would behave. (C) place the interests of others above the interests of ourselves. and (D) act only on maxims that we can will to become universal laws.. Of the answer choices above, answer (B) is the",best,0,philosophy
"According to Kant, morality requires us to: (A) perform the action that leads to the greatest total happiness. (B) behave only in such a way as a perfectly virtuous person would behave. (C) place the interests of others above the interests of ourselves. and (D) act only on maxims that we can will to become universal laws.. Of the answer choices above, answer (C) is the",best,0,philosophy
"According to Kant, morality requires us to: (A) perform the action that leads to the greatest total happiness. (B) behave only in such a way as a perfectly virtuous person would behave. (C) place the interests of others above the interests of ourselves. and (D) act only on maxims that we can will to become universal laws.. Of the answer choices above, answer (D) is the",best,1,philosophy
"According to Gauthier, the basis of morality is: (A) maximizing the utility of all sentient beings. (B) God’s commands. (C) the purposive order of nature. and (D) the agreement of rational persons choosing the terms of their interaction.. Of the answer choices above, answer (A) is the",best,0,philosophy
"According to Gauthier, the basis of morality is: (A) maximizing the utility of all sentient beings. (B) God’s commands. (C) the purposive order of nature. and (D) the agreement of rational persons choosing the terms of their interaction.. Of the answer choices above, answer (B) is the",best,0,philosophy
"According to Gauthier, the basis of morality is: (A) maximizing the utility of all sentient beings. (B) God’s commands. (C) the purposive order of nature. and (D) the agreement of rational persons choosing the terms of their interaction.. Of the answer choices above, answer (C) is the",best,0,philosophy
"According to Gauthier, the basis of morality is: (A) maximizing the utility of all sentient beings. (B) God’s commands. (C) the purposive order of nature. and (D) the agreement of rational persons choosing the terms of their interaction.. Of the answer choices above, answer (D) is the",best,1,philosophy
"Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of: (A) religion. (B) physics. (C) art. and (D) psychology.. Of the answer choices above, answer (A) is the",best,0,philosophy
"Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of: (A) religion. (B) physics. (C) art. and (D) psychology.. Of the answer choices above, answer (B) is the",best,0,philosophy
"Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of: (A) religion. (B) physics. (C) art. and (D) psychology.. Of the answer choices above, answer (C) is the",best,0,philosophy
"Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of: (A) religion. (B) physics. (C) art. and (D) psychology.. Of the answer choices above, answer (D) is the",best,1,philosophy
"Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of: (A) duty. (B) virtue. (C) supererogation. and (D) justice.. Of the answer choices above, answer (A) is the",best,0,philosophy
"Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of: (A) duty. (B) virtue. (C) supererogation. and (D) justice.. Of the answer choices above, answer (B) is the",best,0,philosophy
"Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of: (A) duty. (B) virtue. (C) supererogation. and (D) justice.. Of the answer choices above, answer (C) is the",best,0,philosophy
"Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of: (A) duty. (B) virtue. (C) supererogation. and (D) justice.. Of the answer choices above, answer (D) is the",best,1,philosophy
"Berkeley asserts that existing and perceiving are _____. (A) both nonexistent (B) two distinct things (C) imaginary and (D) one and the same thing. Of the answer choices above, answer (A) is the",best,0,philosophy
"Berkeley asserts that existing and perceiving are _____. (A) both nonexistent (B) two distinct things (C) imaginary and (D) one and the same thing. Of the answer choices above, answer (B) is the",best,0,philosophy
"Berkeley asserts that existing and perceiving are _____. (A) both nonexistent (B) two distinct things (C) imaginary and (D) one and the same thing. Of the answer choices above, answer (C) is the",best,0,philosophy
"Berkeley asserts that existing and perceiving are _____. (A) both nonexistent (B) two distinct things (C) imaginary and (D) one and the same thing. Of the answer choices above, answer (D) is the",best,1,philosophy
"According to Rawls, the term “justice as fairness” conveys the idea that the principles of justice are agreed to in an initial position that is _____. (A) rational (B) artificial (C) constitutional and (D) fair. Of the answer choices above, answer (A) is the",best,0,philosophy
"According to Rawls, the term “justice as fairness” conveys the idea that the principles of justice are agreed to in an initial position that is _____. (A) rational (B) artificial (C) constitutional and (D) fair. Of the answer choices above, answer (B) is the",best,0,philosophy
"According to Rawls, the term “justice as fairness” conveys the idea that the principles of justice are agreed to in an initial position that is _____. (A) rational (B) artificial (C) constitutional and (D) fair. Of the answer choices above, answer (C) is the",best,0,philosophy
"According to Rawls, the term “justice as fairness” conveys the idea that the principles of justice are agreed to in an initial position that is _____. (A) rational (B) artificial (C) constitutional and (D) fair. Of the answer choices above, answer (D) is the",best,1,philosophy
"Berkeley believes that sensible things cannot exist except in _____. (A) absolute existence (B) material substance (C) a material universe and (D) a mind. Of the answer choices above, answer (A) is the",best,0,philosophy
"Berkeley believes that sensible things cannot exist except in _____. (A) absolute existence (B) material substance (C) a material universe and (D) a mind. Of the answer choices above, answer (B) is the",best,0,philosophy
"Berkeley believes that sensible things cannot exist except in _____. (A) absolute existence (B) material substance (C) a material universe and (D) a mind. Of the answer choices above, answer (C) is the",best,0,philosophy
"Berkeley believes that sensible things cannot exist except in _____. (A) absolute existence (B) material substance (C) a material universe and (D) a mind. Of the answer choices above, answer (D) is the",best,1,philosophy
"Singer claims that his argument upsets the traditional distinction between: (A) egoism and altruism. (B) rights and privileges. (C) positive and negative rights. and (D) duty and charity.. Of the answer choices above, answer (A) is the",best,0,philosophy
"Singer claims that his argument upsets the traditional distinction between: (A) egoism and altruism. (B) rights and privileges. (C) positive and negative rights. and (D) duty and charity.. Of the answer choices above, answer (B) is the",best,0,philosophy
"Singer claims that his argument upsets the traditional distinction between: (A) egoism and altruism. (B) rights and privileges. (C) positive and negative rights. and (D) duty and charity.. Of the answer choices above, answer (C) is the",best,0,philosophy
"Singer claims that his argument upsets the traditional distinction between: (A) egoism and altruism. (B) rights and privileges. (C) positive and negative rights. and (D) duty and charity.. Of the answer choices above, answer (D) is the",best,1,philosophy
" In his discussion of the Divided Line, Plato says that, in contrast to mere belief or opinion, knowledge is a belief for which we give reasons or justifications by appealing: (A) to what our senses reveal to us about how things appear to us, not how they  really are. (B) beyond the Forms to images of goodness, beauty, and truth obtained from particular objects. (C) to what we sincerely believe is true about the Forms based on our experiences in the world. and (D) beyond sense experience to unchanging ideas (Forms) that are perceived as rationally ordered.. Of the answer choices above, answer (A) is the",best,0,philosophy
" In his discussion of the Divided Line, Plato says that, in contrast to mere belief or opinion, knowledge is a belief for which we give reasons or justifications by appealing: (A) to what our senses reveal to us about how things appear to us, not how they  really are. (B) beyond the Forms to images of goodness, beauty, and truth obtained from particular objects. (C) to what we sincerely believe is true about the Forms based on our experiences in the world. and (D) beyond sense experience to unchanging ideas (Forms) that are perceived as rationally ordered.. Of the answer choices above, answer (B) is the",best,0,philosophy
" In his discussion of the Divided Line, Plato says that, in contrast to mere belief or opinion, knowledge is a belief for which we give reasons or justifications by appealing: (A) to what our senses reveal to us about how things appear to us, not how they  really are. (B) beyond the Forms to images of goodness, beauty, and truth obtained from particular objects. (C) to what we sincerely believe is true about the Forms based on our experiences in the world. and (D) beyond sense experience to unchanging ideas (Forms) that are perceived as rationally ordered.. Of the answer choices above, answer (C) is the",best,0,philosophy
" In his discussion of the Divided Line, Plato says that, in contrast to mere belief or opinion, knowledge is a belief for which we give reasons or justifications by appealing: (A) to what our senses reveal to us about how things appear to us, not how they  really are. (B) beyond the Forms to images of goodness, beauty, and truth obtained from particular objects. (C) to what we sincerely believe is true about the Forms based on our experiences in the world. and (D) beyond sense experience to unchanging ideas (Forms) that are perceived as rationally ordered.. Of the answer choices above, answer (D) is the",best,1,philosophy
"What was Clarence Darrow's belief about life's meaning? (A) Life was hard but worthwhile. (B) Life was uncertain but ultimately rewarding. (C) Life was meaningful for most people. and (D) Life was not worthwhile.. Of the answer choices above, answer (A) is the",best,0,philosophy
"What was Clarence Darrow's belief about life's meaning? (A) Life was hard but worthwhile. (B) Life was uncertain but ultimately rewarding. (C) Life was meaningful for most people. and (D) Life was not worthwhile.. Of the answer choices above, answer (B) is the",best,0,philosophy
"What was Clarence Darrow's belief about life's meaning? (A) Life was hard but worthwhile. (B) Life was uncertain but ultimately rewarding. (C) Life was meaningful for most people. and (D) Life was not worthwhile.. Of the answer choices above, answer (C) is the",best,0,philosophy
"What was Clarence Darrow's belief about life's meaning? (A) Life was hard but worthwhile. (B) Life was uncertain but ultimately rewarding. (C) Life was meaningful for most people. and (D) Life was not worthwhile.. Of the answer choices above, answer (D) is the",best,1,philosophy
"Stevenson’s primary aim in this paper is to: (A) provide an account of what makes right actions right. (B) establish which things are good in themselves. (C) develop a theory of good moral character. and (D) make ethical questions clear.. Of the answer choices above, answer (A) is the",best,0,philosophy
"Stevenson’s primary aim in this paper is to: (A) provide an account of what makes right actions right. (B) establish which things are good in themselves. (C) develop a theory of good moral character. and (D) make ethical questions clear.. Of the answer choices above, answer (B) is the",best,0,philosophy
"Stevenson’s primary aim in this paper is to: (A) provide an account of what makes right actions right. (B) establish which things are good in themselves. (C) develop a theory of good moral character. and (D) make ethical questions clear.. Of the answer choices above, answer (C) is the",best,0,philosophy
"Stevenson’s primary aim in this paper is to: (A) provide an account of what makes right actions right. (B) establish which things are good in themselves. (C) develop a theory of good moral character. and (D) make ethical questions clear.. Of the answer choices above, answer (D) is the",best,1,philosophy
"According to Moore, we are thinking about good whenever we think about: (A) pleasure. (B) things that we desire. (C) none of the above. and (D) intrinsic value.. Of the answer choices above, answer (A) is the",best,0,philosophy
"According to Moore, we are thinking about good whenever we think about: (A) pleasure. (B) things that we desire. (C) none of the above. and (D) intrinsic value.. Of the answer choices above, answer (B) is the",best,0,philosophy
"According to Moore, we are thinking about good whenever we think about: (A) pleasure. (B) things that we desire. (C) none of the above. and (D) intrinsic value.. Of the answer choices above, answer (C) is the",best,0,philosophy
"According to Moore, we are thinking about good whenever we think about: (A) pleasure. (B) things that we desire. (C) none of the above. and (D) intrinsic value.. Of the answer choices above, answer (D) is the",best,1,philosophy
"Baier argues that genuine moral rules: (A) make take into account the interests of all sentient beings. (B) must take into account the interests of all living beings. (C) are primarily directed toward promoting self-interest. and (D) must be for the good of human beings.. Of the answer choices above, answer (A) is the",best,0,philosophy
"Baier argues that genuine moral rules: (A) make take into account the interests of all sentient beings. (B) must take into account the interests of all living beings. (C) are primarily directed toward promoting self-interest. and (D) must be for the good of human beings.. Of the answer choices above, answer (B) is the",best,0,philosophy
"Baier argues that genuine moral rules: (A) make take into account the interests of all sentient beings. (B) must take into account the interests of all living beings. (C) are primarily directed toward promoting self-interest. and (D) must be for the good of human beings.. Of the answer choices above, answer (C) is the",best,0,philosophy
"Baier argues that genuine moral rules: (A) make take into account the interests of all sentient beings. (B) must take into account the interests of all living beings. (C) are primarily directed toward promoting self-interest. and (D) must be for the good of human beings.. Of the answer choices above, answer (D) is the",best,1,philosophy
"Nussbaum claims that to many current ethical theorists, turning to an ethical approach based on the virtues is connected with a turn toward: (A) rationalism. (B) empiricism. (C) absolutism. and (D) relativism.. Of the answer choices above, answer (A) is the",best,0,philosophy
"Nussbaum claims that to many current ethical theorists, turning to an ethical approach based on the virtues is connected with a turn toward: (A) rationalism. (B) empiricism. (C) absolutism. and (D) relativism.. Of the answer choices above, answer (B) is the",best,0,philosophy
"Nussbaum claims that to many current ethical theorists, turning to an ethical approach based on the virtues is connected with a turn toward: (A) rationalism. (B) empiricism. (C) absolutism. and (D) relativism.. Of the answer choices above, answer (C) is the",best,0,philosophy
"Nussbaum claims that to many current ethical theorists, turning to an ethical approach based on the virtues is connected with a turn toward: (A) rationalism. (B) empiricism. (C) absolutism. and (D) relativism.. Of the answer choices above, answer (D) is the",best,1,philosophy
"Philosophy is concerned primarily with identifying beliefs about human existence and evaluating arguments that support those beliefs.  These activities can be summarized in two questions that drive philosophical investigations: (A) why should we bother? and what are the consequences of our believing one thing over another? (B) who really believes X? and how can we explain differences in people's beliefs? (C) how do philosophers argue? and are their differences important? and (D) what do you mean? and how do you know?. Of the answer choices above, answer (A) is the",best,0,philosophy
"Philosophy is concerned primarily with identifying beliefs about human existence and evaluating arguments that support those beliefs.  These activities can be summarized in two questions that drive philosophical investigations: (A) why should we bother? and what are the consequences of our believing one thing over another? (B) who really believes X? and how can we explain differences in people's beliefs? (C) how do philosophers argue? and are their differences important? and (D) what do you mean? and how do you know?. Of the answer choices above, answer (B) is the",best,0,philosophy
"Philosophy is concerned primarily with identifying beliefs about human existence and evaluating arguments that support those beliefs.  These activities can be summarized in two questions that drive philosophical investigations: (A) why should we bother? and what are the consequences of our believing one thing over another? (B) who really believes X? and how can we explain differences in people's beliefs? (C) how do philosophers argue? and are their differences important? and (D) what do you mean? and how do you know?. Of the answer choices above, answer (C) is the",best,0,philosophy
"Philosophy is concerned primarily with identifying beliefs about human existence and evaluating arguments that support those beliefs.  These activities can be summarized in two questions that drive philosophical investigations: (A) why should we bother? and what are the consequences of our believing one thing over another? (B) who really believes X? and how can we explain differences in people's beliefs? (C) how do philosophers argue? and are their differences important? and (D) what do you mean? and how do you know?. Of the answer choices above, answer (D) is the",best,1,philosophy
"Epictetus claims that things within our power are __________ and things not in our power are __________. (A) free and unhindered; free and unhindered (B) servile and subject to hindrance; free and unhindered (C) servile and subject to hindrance; servile and subject to hindrance and (D) free and unhindered; servile and subject to hindrance. Of the answer choices above, answer (A) is the",best,0,philosophy
"Epictetus claims that things within our power are __________ and things not in our power are __________. (A) free and unhindered; free and unhindered (B) servile and subject to hindrance; free and unhindered (C) servile and subject to hindrance; servile and subject to hindrance and (D) free and unhindered; servile and subject to hindrance. Of the answer choices above, answer (B) is the",best,0,philosophy
"Epictetus claims that things within our power are __________ and things not in our power are __________. (A) free and unhindered; free and unhindered (B) servile and subject to hindrance; free and unhindered (C) servile and subject to hindrance; servile and subject to hindrance and (D) free and unhindered; servile and subject to hindrance. Of the answer choices above, answer (C) is the",best,0,philosophy
"Epictetus claims that things within our power are __________ and things not in our power are __________. (A) free and unhindered; free and unhindered (B) servile and subject to hindrance; free and unhindered (C) servile and subject to hindrance; servile and subject to hindrance and (D) free and unhindered; servile and subject to hindrance. Of the answer choices above, answer (D) is the",best,1,philosophy
"Hume divides our perceptions into two categories: (A) sensations and emotions. (B) static and dynamic. (C) simple and complex. and (D) impressions and ideas.. Of the answer choices above, answer (A) is the",best,0,philosophy
"Hume divides our perceptions into two categories: (A) sensations and emotions. (B) static and dynamic. (C) simple and complex. and (D) impressions and ideas.. Of the answer choices above, answer (B) is the",best,0,philosophy
"Hume divides our perceptions into two categories: (A) sensations and emotions. (B) static and dynamic. (C) simple and complex. and (D) impressions and ideas.. Of the answer choices above, answer (C) is the",best,0,philosophy
"Hume divides our perceptions into two categories: (A) sensations and emotions. (B) static and dynamic. (C) simple and complex. and (D) impressions and ideas.. Of the answer choices above, answer (D) is the",best,1,philosophy
"Aristotle says  that what makes things be what they are--their essence--does not exist apart from individ-uals that exist in the world.  So if all the members of a species were destroyed, then their essence or form: (A) would be destroyed only if there were no one around to remember the species. (B) would continue existing (as with Plato's Forms) in some other realm of being. (C) would not be destroyed because there was no essence or form originally to be destroyed; there are only individuals, not universal essences or natures of things. and (D) would likewise be destroyed.. Of the answer choices above, answer (A) is the",best,0,philosophy
"Aristotle says  that what makes things be what they are--their essence--does not exist apart from individ-uals that exist in the world.  So if all the members of a species were destroyed, then their essence or form: (A) would be destroyed only if there were no one around to remember the species. (B) would continue existing (as with Plato's Forms) in some other realm of being. (C) would not be destroyed because there was no essence or form originally to be destroyed; there are only individuals, not universal essences or natures of things. and (D) would likewise be destroyed.. Of the answer choices above, answer (B) is the",best,0,philosophy
"Aristotle says  that what makes things be what they are--their essence--does not exist apart from individ-uals that exist in the world.  So if all the members of a species were destroyed, then their essence or form: (A) would be destroyed only if there were no one around to remember the species. (B) would continue existing (as with Plato's Forms) in some other realm of being. (C) would not be destroyed because there was no essence or form originally to be destroyed; there are only individuals, not universal essences or natures of things. and (D) would likewise be destroyed.. Of the answer choices above, answer (C) is the",best,0,philosophy
"Aristotle says  that what makes things be what they are--their essence--does not exist apart from individ-uals that exist in the world.  So if all the members of a species were destroyed, then their essence or form: (A) would be destroyed only if there were no one around to remember the species. (B) would continue existing (as with Plato's Forms) in some other realm of being. (C) would not be destroyed because there was no essence or form originally to be destroyed; there are only individuals, not universal essences or natures of things. and (D) would likewise be destroyed.. Of the answer choices above, answer (D) is the",best,1,philosophy
"According to Socrates, an unexamined life is not worth living; and it certainly could not be a virtuous life.  Why not? (A) Because if someone did not know how to act virtuously, he or she would still be considered virtuous by others who also did not know the principles for good living. (B) Because since Socrates was a philosopher, he of course thought that people who examined their lives philosophically were more virtuous than those who did not. (C) Because a virtuous life would be one in which someone does what the rest of the society says is right, and that means examining views other than one's own. and (D) Because without knowing the rationale for why one should act in a particular way, one does not know whether actions are justified and ought to be repeated.. Of the answer choices above, answer (A) is the",best,0,philosophy
"According to Socrates, an unexamined life is not worth living; and it certainly could not be a virtuous life.  Why not? (A) Because if someone did not know how to act virtuously, he or she would still be considered virtuous by others who also did not know the principles for good living. (B) Because since Socrates was a philosopher, he of course thought that people who examined their lives philosophically were more virtuous than those who did not. (C) Because a virtuous life would be one in which someone does what the rest of the society says is right, and that means examining views other than one's own. and (D) Because without knowing the rationale for why one should act in a particular way, one does not know whether actions are justified and ought to be repeated.. Of the answer choices above, answer (B) is the",best,0,philosophy
"According to Socrates, an unexamined life is not worth living; and it certainly could not be a virtuous life.  Why not? (A) Because if someone did not know how to act virtuously, he or she would still be considered virtuous by others who also did not know the principles for good living. (B) Because since Socrates was a philosopher, he of course thought that people who examined their lives philosophically were more virtuous than those who did not. (C) Because a virtuous life would be one in which someone does what the rest of the society says is right, and that means examining views other than one's own. and (D) Because without knowing the rationale for why one should act in a particular way, one does not know whether actions are justified and ought to be repeated.. Of the answer choices above, answer (C) is the",best,0,philosophy
"According to Socrates, an unexamined life is not worth living; and it certainly could not be a virtuous life.  Why not? (A) Because if someone did not know how to act virtuously, he or she would still be considered virtuous by others who also did not know the principles for good living. (B) Because since Socrates was a philosopher, he of course thought that people who examined their lives philosophically were more virtuous than those who did not. (C) Because a virtuous life would be one in which someone does what the rest of the society says is right, and that means examining views other than one's own. and (D) Because without knowing the rationale for why one should act in a particular way, one does not know whether actions are justified and ought to be repeated.. Of the answer choices above, answer (D) is the",best,1,philosophy
"There is no rationale for myth because it is through myth that reason itself is defined.""  This means that: (A) mythos is ultimately based on logos, just as myth is ultimately based on reasoning or thinking. (B) metaphysicians are justified in reasoning as they do because there is only one true answer about being. (C) myth and reason are the same: ""myth"" defines ""reason,"" and ""reason"" defines ""myth."" and (D) myth does not ""explain"" how things are related as much as it simply reveals them as related.. Of the answer choices above, answer (A) is the",best,0,philosophy
"There is no rationale for myth because it is through myth that reason itself is defined.""  This means that: (A) mythos is ultimately based on logos, just as myth is ultimately based on reasoning or thinking. (B) metaphysicians are justified in reasoning as they do because there is only one true answer about being. (C) myth and reason are the same: ""myth"" defines ""reason,"" and ""reason"" defines ""myth."" and (D) myth does not ""explain"" how things are related as much as it simply reveals them as related.. Of the answer choices above, answer (B) is the",best,0,philosophy
"There is no rationale for myth because it is through myth that reason itself is defined.""  This means that: (A) mythos is ultimately based on logos, just as myth is ultimately based on reasoning or thinking. (B) metaphysicians are justified in reasoning as they do because there is only one true answer about being. (C) myth and reason are the same: ""myth"" defines ""reason,"" and ""reason"" defines ""myth."" and (D) myth does not ""explain"" how things are related as much as it simply reveals them as related.. Of the answer choices above, answer (C) is the",best,0,philosophy
"There is no rationale for myth because it is through myth that reason itself is defined.""  This means that: (A) mythos is ultimately based on logos, just as myth is ultimately based on reasoning or thinking. (B) metaphysicians are justified in reasoning as they do because there is only one true answer about being. (C) myth and reason are the same: ""myth"" defines ""reason,"" and ""reason"" defines ""myth."" and (D) myth does not ""explain"" how things are related as much as it simply reveals them as related.. Of the answer choices above, answer (D) is the",best,1,philosophy
"According to Epicurus, a law is unjust when: (A) it is not in accordance with natural law. (B) it is not in accordance with the traditions of society. (C) it is offensive to the gods. and (D) it is not beneficial to those it affects.. Of the answer choices above, answer (A) is the",best,0,philosophy
"According to Epicurus, a law is unjust when: (A) it is not in accordance with natural law. (B) it is not in accordance with the traditions of society. (C) it is offensive to the gods. and (D) it is not beneficial to those it affects.. Of the answer choices above, answer (B) is the",best,0,philosophy
"According to Epicurus, a law is unjust when: (A) it is not in accordance with natural law. (B) it is not in accordance with the traditions of society. (C) it is offensive to the gods. and (D) it is not beneficial to those it affects.. Of the answer choices above, answer (C) is the",best,0,philosophy
